marker-color,marker-size,marker-symbol,name,r,lon,lat,id,website
#ffffff,medium,,Paris,10,2.3474,48.8588,,
#ffffff,medium,,Brest,10,-4.4802,48.3879,,
#ffffff,medium,,Nantes,10,-1.5415,47.2176,,
#ffffff,medium,,Pau,10,-0.3698,43.2918,,
#ffffff,medium,,Montpellier,10,3.8795,43.6036,,
#ffffff,medium,,Marseille,10,5.3812,43.3034,,
#ffffff,medium,,La Ciotat,10,5.604915618896484,43.17939459239964,,
#ffffff,medium,,Meyreuil,10,5.494537353515625,43.48630671140664,,
#ffffff,medium,,Lyon,10,4.8253,45.7483,,
#ffffff,medium,,Bordeaux,10,-0.5564,44.8246,,
#0000ff,medium,,,5,2.3024243116378784,48.87541684512414,Maillance,https://maillance.com
#0000ff,medium,,,5,2.192416191101074,48.885185393174375,Computation Hub,www.computationhub.com
#0000ff,medium,,,5,2.2836408019065857,48.86606985044708,Skipper NDT,www.skipperndt.com
#0000ff,medium,,,5,2.346678078174591,48.87061653991723,Kpler,https://www.kpler.com
#0000ff,medium,,,5,2.337679266929626,48.87433897766024,Kayrros,https://www.kayrros.com
#000040,medium,,,5,2.3762333393096924,48.865468181502685,Open Ocean,www.openocean.fr
#804040,medium,,,5,2.2919368743896484,48.84988049431463,Cold Pad,https://www.cold-pad.com
#804040,medium,,,5,2.28490948677063,48.8416232128161,Forrsea Robotics,www.forssea-robotics.fr
#804040,medium,,,5,2.127107083797455,48.80781206317296,Agile Data Decisions,https://www.agiledd.ai
#804040,medium,,,5,2.1316319704055786,48.79847364590716,Open Field Technologies,http://openfield-technology.com/
#ff0080,medium,,,5,2.2707501053810115,48.72337281919399,Spotlight Earth,https://www.spotlight-earth.com/
#000040,medium,,,5,2.590219974517822,48.838145497883914,Internest,www.internest.fr
#ff0080,medium,,,5,2.4533790349960327,48.61992956032242,Glowee,https://www.glowee.com
#ff0080,medium,,,5,2.23645806312561,48.70244660563071,Fly Instinct,https://www.flyinstinct.com
#808040,medium,,,5,-1.5478277206420898,47.24906466407969,D-Ice Engineering,www.dice-engineering.com
#808040,medium,,,5,-1.515212059020996,47.28365428037878,ROBOPLANET,www.roboplanet.fr
#00ff80,medium,,,5,-4.568681716918945,48.359043630560485,e-Odyn,www.e-odyn.com
#13ec6a,medium,,,5,2.292725443840027,48.908672896735865,New World Wind,www.newworldwind.com
#004080,medium,,,5,-0.5554318428039551,44.86310878137558,Fieldbox.ai,https://www.fieldbox.ai
#00b7b7,medium,,,5,-0.4309773445129394,43.31364091223343,BOPS64,www.bops64.com
#00b7b7,medium,,,5,-0.30300915241241455,43.31876950231436,ChemFor,www.chemfor.com/
#008080,medium,,,5,3.9131712913513184,43.61858614444984,Voxaya,www.voxaya.com
#00ff80,medium,,,5,5.602941513061523,43.208859077418516,Ideol,www.ideol-offshore.com
#ff8000,medium,,,5,5.517507791519165,43.50075243569041,Optimum Tracker,https://www.optimum-tracker.com